product_id,product_title
B0001NM3E2,"Western Pack RB Series 18'" Duffel Bag (Black)"
B000AB9YM4,Canvas Nato Style Rucksack MEDIUM - Military Spec - Unisex - Black
B000AI8C20,CamelBak Scorpion (Black)
B000E8P8ZA,Port & Company - Cinch Pack Bag
B000GHH2GW,K-Cliffs Baby Blue with White Flowers Kids Backapck Kids School Backpack
B000KANATI,Briggs & Riley Baseline Deluxe Toiletry Kit (Black)
B000KL7RHS,Western Chief - Kid's Black FDUSA Fireman Umbrella
B000MGYEWM,"Bridal Shower Wedding White Nylon Umbrella Parasol 26'" opening Waterproof"
B000N20TZG,Travelpro Crew6trade; 24 Expandable Horizontal Rolling Garment Bag - Ocean Blue
B000OTPRIW,Monet Artwork Floral Poppy Field Large Long Stick Handle Style Umbrella Auto Release Automatic Open
B000QG2RH2,Creative Lab 30GB 60GB Zen Vision:M Premium Leather Case with Embroidery and Contrast Stitching - 2 Color Options
B000RGX39C,"Ricardo Beverly Hills Capistrano Lite Cardinal Red 17'" Rolling Tote Cardinal Red"
B000VDX328,Heys Ballistic Nylon Rolling Business Case
B000W9AWIE,"Totes 5 Piece Expandable Luggage Set Style TL5410"
B000XVE46M,Piel Leather Three-Ring Binder Chco
B000YOLE0M,Pacsafe Luggage Citysafe 300 Oversized Bag
B000ZESPZI,Men's Polo Ralph Lauren Trifold Wallet Black
B00102M14K,Samsonite 17896-1477 Wheeled Backpack - Black and Khaki
B0010AOHN0,Victorinox Travel Sentry Approved Luggage Lock Combo Set
B0010ZGMOM,Classical Leather Organizer Breifcase(#2750-02) (Brown)
B00127OY7A,Design Go Acustraps Motion Sickness Relief 2 per Pack - Navy Blue
B00134O5OE,Vera Bradley Messenger Bag in Raspberry Fizz
B0015GPGDY,AmeriLeather Urban Buckle-Flap Backpack
B0016FWT7A,ZUCA Sport - Insert Bag - Basic Colors - BAG ONLY (Chili - BAG ONLY)
B0017K88F6,"Lewis N. Clark Comfort Neck Travel Pillow Gray One Size"
B0019FLGMG,Amaro 61007 Small Century Messenger Bag - Black
B001CMQ2WK,Vera Bradley Small Duffel Bag Frankly Night Owl
B001CZMUK0,Travelon RFID Blocking ID and Boarding Pass Holder
B001GGONUU,Victorinox McGill - (Closeout) - Berry/Slate
B001M0NWTS,Eagle Creek Travel Gear Neck Pouch
B001M0NYHS,Eagle Creek Travel Gear Compass Bag
B001M0NZ22,Eagle Creek Travel Gear Comfort Travel Blanket
B001P0J1YK,David King & Co. Double Top Zip Brief
B001Q51NIG,Osgoode Marley Twelve Pocket Hipster
B0026WR0I0,Kenneth Cole  Top Zip Computer Case
B00289E7GY,Athalon Luggage Spinner Wheels Fabric Construction Plane Case
B0028BWRYG,New Travel Wallet Color: Espresso
B0029B3T9C,Stephanie Johnson - Hollywood - Brush Case
B002EULHME,Eagle Creek Travel Gear Ramble 22 Wheeled Luggage
B002EUWDOK,Eagle Creek Travel Gear Travel Clutch
B002HQR0CG,"GustBuster Doorman 68'" Umbrella (Black)"
